Attrition,Age,MonthlyIncome,DistanceFromHome,Education,Department,JobRole,MaritalStatus,Gender,OverTime,JobSatisfaction,EmployeeNumber,YearsAtCompany
Yes,41,5993,1,2,Sales,Sales Executive,Single,Female,Yes,4,1,6
No,49,5130,8,1,Research & Development,Research Scientist,Married,Male,No,2,2,10
Yes,37,2090,2,2,Research & Development,Laboratory Technician,Single,Male,Yes,3,4,0
No,33,2909,3,4,Research & Development,Research Scientist,Married,Female,Yes,3,5,8
No,27,3468,2,1,Research & Development,Laboratory Technician,Married,Male,No,2,7,2
No,32,3068,2,2,Research & Development,Laboratory Technician,Single,Male,No,4,8,7
No,59,2670,3,3,Research & Development,Laboratory Technician,Married,Female,Yes,1,10,1
No,30,2693,24,1,Research & Development,Laboratory Technician,Divorced,Male,No,3,11,1
No,38,9526,23,3,Research & Development,Manufacturing Director,Single,Male,No,3,12,9
No,36,5237,27,3,Research & Development,Healthcare Representative,Married,Male,No,3,13,7
No,35,2426,16,3,Research & Development,Laboratory Technician,Married,Male,No,2,14,5
No,29,4193,15,2,Research & Development,Laboratory Technician,Single,Female,Yes,3,15,9
No,31,2911,26,1,Research & Development,Research Scientist,Divorced,Male,No,3,16,5
No,34,2661,19,2,Research & Development,Laboratory Technician,Divorced,Male,No,4,18,2
Yes,28,2028,24,3,Research & Development,Laboratory Technician,Single,Male,Yes,3,19,4
No,29,9980,21,4,Research & Development,Manufacturing Director,Divorced,Female,No,1,20,10
No,32,3298,5,2,Research & Development,Research Scientist,Divorced,Male,Yes,2,21,6
No,22,2935,16,2,Research & Development,Laboratory Technician,Divorced,Male,Yes,4,22,1
No,53,15427,2,4,Sales,Manager,Married,Female,No,4,23,25
No,38,3944,2,3,Research & Development,Research Scientist,Single,Male,Yes,4,24,3
No,24,4011,11,2,Research & Development,Manufacturing Director,Divorced,Female,No,3,26,4
Yes,36,3407,9,4,Sales,Sales Representative,Single,Male,No,1,27,5
No,34,11994,7,4,Research & Development,Research Director,Single,Female,No,2,28,12
No,21,1232,15,2,Research & Development,Research Scientist,Single,Male,No,4,30,0
Yes,34,2960,6,1,Research & Development,Research Scientist,Single,Male,No,1,31,4
No,53,19094,5,3,Research & Development,Manager,Divorced,Female,No,3,32,14
Yes,32,3919,16,1,Research & Development,Research Scientist,Single,Female,Yes,1,33,10
No,42,6825,8,4,Sales,Sales Executive,Married,Male,No,2,35,9
No,44,10248,7,4,Research & Development,Healthcare Representative,Married,Female,No,4,36,22
No,46,18947,2,4,Sales,Manager,Single,Female,No,1,38,2
No,33,2496,2,3,Research & Development,Laboratory Technician,Single,Male,No,4,39,1
No,44,6465,10,4,Research & Development,Healthcare Representative,Married,Male,Yes,4,40,4
No,30,2206,9,2,Research & Development,Laboratory Technician,Single,Male,No,3,41,10
Yes,39,2086,5,3,Sales,Sales Representative,Married,Male,No,4,42,1
Yes,24,2293,1,3,Research & Development,Research Scientist,Married,Male,Yes,4,45,2
No,43,2645,2,2,Research & Development,Research Scientist,Divorced,Female,No,3,46,5
Yes,50,2683,3,2,Sales,Sales Representative,Married,Male,Yes,3,47,3
No,35,2014,2,3,Sales,Sales Representative,Married,Female,No,4,49,2
No,36,3419,5,4,Research & Development,Research Scientist,Married,Female,Yes,1,51,1
No,33,5376,1,3,Sales,Sales Executive,Married,Female,No,1,52,5
No,35,1951,4,2,Research & Development,Laboratory Technician,Divorced,Male,No,4,53,1
No,27,2341,2,4,Research & Development,Laboratory Technician,Divorced,Female,No,1,54,1
Yes,26,2293,25,3,Research & Development,Laboratory Technician,Single,Male,No,3,55,1
No,27,8726,8,3,Sales,Sales Executive,Single,Male,No,3,56,9
No,30,4011,1,2,Research & Development,Laboratory Technician,Single,Female,No,4,57,12
Yes,41,19545,12,3,Research & Development,Research Director,Married,Female,No,3,58,22
No,34,4568,23,4,Sales,Sales Executive,Single,Male,No,3,60,9
No,37,3022,19,2,Research & Development,Research Scientist,Married,Male,No,2,61,1
No,46,5772,5,4,Sales,Sales Executive,Single,Male,Yes,4,62,9
No,35,2269,8,1,Research & Development,Laboratory Technician,Married,Male,No,4,63,1
Yes,48,5381,1,2,Research & Development,Laboratory Technician,Single,Male,Yes,3,64,1
Yes,28,3441,5,4,Research & Development,Laboratory Technician,Single,Male,Yes,3,65,2
